Player Name,Team,Role,Total Kills,Total Assists,Total Damage Dealt,Total Damage Taken,Total Amount Healed,Total Games,Avg Kills,Avg Assists,Avg Damage Dealt,Avg Damage Taken,Avg Amount Healed
"Nfun","Divided","Unassigned","892","1113","48559125","9578305","9067","9","99.11","123.67","5395458","1064256","1007"
"HaiseHina","Divided","Unassigned","798","1080","43663321","8752144","154500","9","88.67","120.00","4851480","972460","17167"
"Phillip12369","Omen","Unassigned","779","1048","38396748","14435191","73781","11","70.82","95.27","3490613","1312290","6707"
"Guts","Omen","Unassigned","769","900","33463382","14613126","157584","11","69.91","81.82","3042126","1328466","14326"
"hellokitty2008","Divided","Unassigned","729","684","27760055","4260535","76661","8","91.13","85.50","3470007","532567","9583"
"Bravely","Lunarch","Unassigned","702","1281","40858755","12004415","605711","12","58.50","106.75","3404896","1000368","50476"
"FORGIVEN","Divided","Unassigned","699","1437","35366152","13219582","117838","10","69.90","143.70","3536615","1321958","11784"
"FruityFresh","Lunarch","Unassigned","696","1285","61722668","18037441","184041","12","58.00","107.08","5143556","1503120","15337"
"IMurtag","SOVEREIGN","Unassigned","662","880","32297253","5776460","327698","6","110.33","146.67","5382876","962743","54616"
"Yunoha","Divided","Unassigned","648","717","25828021","9705172","17556","10","64.80","71.70","2582802","970517","1756"
"san","JustCrits","Unassigned","634","1187","34444884","4527058","95278","6","105.67","197.83","5740814","754510","15880"
"eatsz","Lunarch","Unassigned","626","862","29553394","9009953","95758","12","52.17","71.83","2462783","750829","7980"
"minh","Lunarch","Unassigned","624","767","28747922","8180866","86005","12","52.00","63.92","2395660","681739","7167"
"Dicey","Nova","Unassigned","613","851","30977344","4042285","101492","6","102.17","141.83","5162891","673714","16915"
"Mystah","Mythros","Unassigned","585","629","26290384","9268781","257191","12","48.75","52.42","2190865","772398","21433"
"st0n3","Omen","Unassigned","583","380","21446289","11338629","243089","9","64.78","42.22","2382921","1259848","27010"
"vii3t","Divided","Unassigned","579","1333","30242050","10521761","276354","10","57.90","133.30","3024205","1052176","27635"
